CategoryID,ProductID
51,20
51,21
51,26
51,29
51,31
51,33
51,59
81,60
81,62
32,90
32,91
32,92
32,93
32,94
32,95
32,96
32,97
32,98
32,99
32,100
32,101
32,102
32,103
32,104
32,105
32,106
32,107
32,108
32,109
32,110
32,111
32,113
32,112
32,114
32,115
32,116
51,117
51,118
53,119
53,120
91,119
91,120
93,36
93,37
93,38
94,121
102,159
102,160
102,161
102,162
103,249
103,251
103,254
95,350
95,351
95,352
95,353
95,354
95,355
95,356
95,357
95,358
136,413
81,459
81,258
81,257
96,66
81,61
98,46
98,365
102,465
143,478
143,479
143,480
82,36
82,37
82,38
82,40
33,495
33,496
33,497
33,498
33,499
96,144
143,501
98,504
98,518
96,520
96,522
135,237
135,238
135,239
135,240
135,241
135,242
135,243
135,412
135,421
135,493
137,529
137,530
137,531
137,532
137,533
137,534
137,535
137,536
137,537
137,538
137,539
137,540
136,541
136,542
136,543
136,544
136,545
136,546
145,547
146,552
148,555
100,529
100,530
100,531
100,532
100,533
100,534
100,535
100,536
100,537
100,538
100,539
100,540
158,322
158,323
158,70
158,141
158,514
158,515
151,579
151,580
151,581
151,582
155,585
161,588
161,589
161,590
161,591
161,592
161,593
161,594
161,595
162,596
162,597
162,598
162,599
162,600
162,601
166,602
166,603
166,604
168,607
164,608
164,609
164,610
164,611
164,612
164,613
164,615
164,616
169,617
167,618
167,619
167,620
167,621
153,624
153,625
153,627
94,636
144,559
156,559
183,164
183,165
183,166
183,179
183,188
183,167
183,192
183,194
183,171
183,189
183,190
183,199
183,191
183,168
183,200
183,180
183,181
183,169
183,183
183,170
183,204
183,172
183,193
183,173
183,184
183,198
183,206
183,203
183,185
183,205
183,196
183,197
183,201
183,174
183,186
183,175
183,176
183,202
183,177
183,187
184,207
184,208
184,209
184,221
184,222
184,210
184,211
184,230
184,212
184,223
184,224
184,225
184,226
184,213
184,231
184,214
184,215
184,227
184,228
184,232
184,216
184,229
184,217
184,218
184,219
170,639
165,640
165,641
165,642
165,643
185,644
185,645
170,646
186,647
186,648
186,649
186,650
186,651
186,652
186,653
186,654
186,655
186,656
156,659
186,765
204,830
204,831
204,832
204,866
205,867
205,868
